author,description
Биков Анатолій Федорович,"Бахчисарай. Папір, акварель. 40,5х29,5"
Биков Анатолій Федорович,"Кримський дворик. Папір, акварель. 37х28"
Биков Анатолій Федорович,"Херсонес. Папір, акварель. 49х59"
Биков Анатолій Федорович,"Осінь. Папір, акварель. 45х47,5"
Биков Анатолій Федорович,"Ставок. 1995. Папір, акварель. 36,5х44"
Биков Анатолій Федорович,"Куполи. Папір, акварель. 50х41"
Биков Анатолій Федорович,"Вечір. Папір, акварель. 36,5х49"
Биков Анатолій Федорович,"На току. Папір, акварель. 28х37,5"
Биков Анатолій Федорович,"Золота осінь. Папір, акварель. 36х48"
Биков Анатолій Федорович,"Жовті квіти. Папір, акварель. 31х33"
Биков Анатолій Федорович,"Новий урожай. Папір, акварель. 37х41"
Биков Анатолій Федорович,"Сушить білизну. Папір, акварель. 42х33"
Биков Анатолій Федорович,"На ріці. Папір, акварель. 43х35,5"
Биков Анатолій Федорович,"Відлига. Папір, акварель. 37,5х50"
Биков Анатолій Федорович,"Дощ. 2004. Папір, акварель. 36,5х52"
Биков Анатолій Федорович,"Катери. Папір, акварель. 49х35,5"
Биков Анатолій Федорович,"Причал. Папір, акварель. 36х49"
Биков Анатолій Федорович,"Вечір на ріці. Папір, акварель. 36,5х48"
Биков Анатолій Федорович,"Яблуні у квіту. Папір, акварель. 37х51,5"
Биков Анатолій Федорович,"Фарби осені. Папір, акварель. 41,5х51"
Биков Анатолій Федорович,"Осінній натюрморт. Папір, акварель. 43х47,5"
Биков Анатолій Федорович,"В Криму. Папір, акварель. 55,5х50,5"
Биков Анатолій Федорович,"Квіти на вікні. Папір, акварель. 65х50,5"
Биков Анатолій Федорович,"Кораблі. Папір, акварель. 64,5х48"
Биков Анатолій Федорович,"Гладіолуси. Папір, акварель. 61х50,5"
Биков Анатолій Федорович,"Місто будується. Папір, акварель. 48х61"
Биков Анатолій Федорович,"На суднобудівному. Папір, акварель. 56,5х44"
Биков Анатолій Федорович,"Вечір на пляжі. Папір, акварель. 50,5х54,5"
Биков Анатолій Федорович,"Пейзаж. Папір, акварель. 36,5х51"
Биков Анатолій Федорович,"Зима. Папір, акварель. 36,5х48"
Биков Анатолій Федорович,"Плете сіті. Папір, акварель. 55,5х61,5"
Биков Анатолій Федорович,"Міський пейзаж. Папір, акварель. 49х61"
Биков Анатолій Федорович,"Квіти у керамічній вазі. Папір, акварель. 50,5х59"
Биков Анатолій Федорович,"Заводські труби. Папір, акварель. 63,5х47"
Биков Анатолій Федорович,"Крим. Великий Атлеш. Папір, акварель. 51,5х64"
Биков Анатолій Федорович,"Маяк. Папір, акварель. 59,5х77"
Биков Анатолій Федорович,"Збігле море. 1990. Папір, акварель. 50х62"
Биков Анатолій Федорович,"Доменна піч. Папір, ліногравюра. 32х28; 30х26"
Биков Анатолій Федорович,"Переможці. Папір, офорт, акватинта. 42,5х46; 32,5х36"
